date,platform,product_id,qty,revenue
2023-01-01,Shopee,PRD1026,27,2365375.0
2023-01-01,Shopee,PRD1041,7,517750.0
2023-01-01,Shopee,PRD1024,20,894505.0
2023-01-01,Shopee,PRD1043,11,465613.0
2023-01-01,Shopee,PRD1006,19,1795971.0
2023-01-01,Shopee,PRD1018,27,2272309.0
2023-01-01,Shopee,PRD1038,6,557509.0
2023-01-01,Lazada,PRD1037,20,919899.0
2023-01-01,Lazada,PRD1031,17,904851.0
2023-01-01,Lazada,PRD1042,24,1539000.0
2023-01-01,Lazada,PRD1019,32,1994404.0
2023-01-01,Lazada,PRD1036,24,1390472.0
2023-01-01,Lazada,PRD1022,3,205785.0
2023-01-01,Lazada,PRD1028,12,1147170.0
2023-01-01,TikTokShop,PRD1045,17,1492075.0
2023-01-01,TikTokShop,PRD1028,14,1209945.0
2023-01-01,TikTokShop,PRD1042,17,613322.0
2023-01-01,TikTokShop,PRD1013,19,1695942.0
2023-01-01,TikTokShop,PRD1046,27,1452379.0
2023-01-01,TikTokShop,PRD1048,9,406220.0
2023-01-01,TikTokShop,PRD1016,14,545703.0
2023-01-01,TikTokShop,PRD1000,16,888438.0
2023-01-02,Shopee,PRD1040,24,1157681.0
2023-01-02,Shopee,PRD1025,30,1995920.0
2023-01-02,Shopee,PRD1026,12,763118.0
2023-01-02,Shopee,PRD1038,14,1015460.0
2023-01-02,Shopee,PRD1024,28,2043603.0
2023-01-02,Shopee,PRD1015,32,1420666.0
2023-01-02,Shopee,PRD1037,25,1320261.0
2023-01-02,Lazada,PRD1010,3,145589.0
2023-01-02,Lazada,PRD1041,8,501442.0
2023-01-02,Lazada,PRD1001,19,1202804.0
2023-01-02,Lazada,PRD1005,22,1394873.0
2023-01-02,Lazada,PRD1028,3,270760.0
2023-01-02,Lazada,PRD1022,25,2239503.0
2023-01-02,Lazada,PRD1045,8,517258.0
2023-01-02,TikTokShop,PRD1040,11,1024940.0
2023-01-02,TikTokShop,PRD1006,22,1752275.0
2023-01-02,TikTokShop,PRD1010,12,1040162.0
2023-01-02,TikTokShop,PRD1034,32,2235158.0
2023-01-02,TikTokShop,PRD1049,28,2011092.0
2023-01-02,TikTokShop,PRD1023,8,777036.0
2023-01-02,TikTokShop,PRD1047,11,1059180.0
2023-01-02,TikTokShop,PRD1038,1,97267.0
2023-01-02,TikTokShop,PRD1035,19,943291.0
2023-01-03,Shopee,PRD1002,8,797865.0
2023-01-03,Shopee,PRD1014,3,263322.0
2023-01-03,Shopee,PRD1043,16,1264405.0
2023-01-03,Shopee,PRD1024,6,472548.0
2023-01-03,Lazada,PRD1024,20,1480802.0
2023-01-03,Lazada,PRD1031,3,285667.0
2023-01-03,Lazada,PRD1041,5,390263.0
2023-01-03,Lazada,PRD1014,3,256934.0
2023-01-03,Lazada,PRD1010,14,1142370.0
