date,distributor_id,product_id,qty,gross_sales,discount,net_sales
2023-01-01,DIST039,PRD1032,577,18426302.0,919714.0,17506588.0
2023-01-01,DIST039,PRD1048,211,11048539.0,909186.0,10139353.0
2023-01-01,DIST039,PRD1011,513,38531230.0,2616870.0,35914360.0
2023-01-01,DIST039,PRD1049,480,10160930.0,958459.0,9202471.0
2023-01-01,DIST039,PRD1006,798,63137188.0,5337743.0,57799445.0
2023-01-01,DIST039,PRD1040,275,6455765.0,582573.0,5873192.0
2023-01-01,DIST039,PRD1019,144,3620046.0,213146.0,3406900.0
2023-01-01,DIST039,PRD1044,136,10700353.0,670019.0,10030334.0
2023-01-01,DIST039,PRD1046,182,5042035.0,292552.0,4749483.0
2023-01-01,DIST030,PRD1010,449,12239853.0,464818.0,11775035.0
2023-01-01,DIST030,PRD1016,356,7569292.0,486809.0,7082483.0
2023-01-01,DIST030,PRD1038,561,18632517.0,478473.0,18154044.0
2023-01-01,DIST030,PRD1027,596,14025326.0,356131.0,13669195.0
2023-01-01,DIST030,PRD1013,105,7515703.0,192917.0,7322786.0
2023-01-01,DIST030,PRD1034,273,10021458.0,589594.0,9431864.0
2023-01-01,DIST030,PRD1012,521,14556068.0,1380514.0,13175554.0
2023-01-01,DIST030,PRD1019,547,29851266.0,1177327.0,28673939.0
2023-01-01,DIST030,PRD1025,467,31966066.0,1126254.0,30839812.0
2023-01-01,DIST030,PRD1023,158,9407156.0,454778.0,8952378.0
2023-01-01,DIST030,PRD1028,416,19976936.0,1564715.0,18412221.0
2023-01-01,DIST030,PRD1047,630,37300617.0,2674245.0,34626372.0
2023-01-01,DIST034,PRD1025,236,7413358.0,414326.0,6999032.0
2023-01-01,DIST034,PRD1046,425,13178945.0,751335.0,12427610.0
2023-01-01,DIST034,PRD1006,795,59939769.0,3323688.0,56616081.0
2023-01-01,DIST034,PRD1015,785,56016041.0,1559078.0,54456963.0
2023-01-01,DIST017,PRD1034,296,22374961.0,1852878.0,20522083.0
2023-01-01,DIST017,PRD1000,313,14204081.0,1371907.0,12832174.0
2023-01-01,DIST017,PRD1005,721,38462538.0,2979795.0,35482743.0
2023-01-01,DIST017,PRD1015,206,6467138.0,241975.0,6225163.0
2023-01-01,DIST017,PRD1010,126,6898603.0,437203.0,6461400.0
2023-01-01,DIST017,PRD1026,691,26822055.0,644035.0,26178020.0
2023-01-01,DIST017,PRD1031,470,23580381.0,2080204.0,21500177.0
2023-01-01,DIST017,PRD1030,208,4869857.0,295241.0,4574616.0
2023-01-01,DIST017,PRD1013,776,24172010.0,1634096.0,22537914.0
2023-01-01,DIST017,PRD1025,632,45320184.0,2370338.0,42949846.0
2023-01-01,DIST017,PRD1045,545,18951242.0,1280375.0,17670867.0
2023-01-01,DIST017,PRD1024,587,14627456.0,1061805.0,13565651.0
2023-01-01,DIST017,PRD1048,542,27840894.0,2638663.0,25202231.0
2023-01-01,DIST017,PRD1037,246,14805155.0,668226.0,14136929.0
2023-01-01,DIST036,PRD1025,454,26000378.0,1691051.0,24309327.0
2023-01-01,DIST036,PRD1042,161,3927699.0,145530.0,3782169.0
2023-01-01,DIST036,PRD1041,118,3297793.0,158033.0,3139760.0
2023-01-01,DIST036,PRD1019,136,9894845.0,490410.0,9404435.0
2023-01-01,DIST036,PRD1029,208,9628543.0,611003.0,9017540.0
2023-01-01,DIST036,PRD1000,326,18484417.0,1829563.0,16654854.0
2023-01-01,DIST001,PRD1000,574,18734085.0,888566.0,17845519.0
2023-01-01,DIST001,PRD1042,641,37212792.0,1530142.0,35682650.0
2023-01-01,DIST001,PRD1035,480,16832292.0,1559558.0,15272734.0
2023-01-01,DIST001,PRD1019,121,3090087.0,166513.0,2923574.0
2023-01-01,DIST001,PRD1047,305,6906788.0,322440.0,6584348.0
2023-01-01,DIST001,PRD1006,185,10771958.0,441181.0,10330777.0
2023-01-01,DIST001,PRD1016,686,31905950.0,2439318.0,29466632.0
2023-01-01,DIST001,PRD1043,296,6091734.0,158504.0,5933230.0
2023-01-01,DIST001,PRD1046,644,47807800.0,3042834.0,44764966.0
2023-01-01,DIST001,PRD1009,763,32162708.0,2064910.0,30097798.0
2023-01-01,DIST001,PRD1017,432,11943388.0,533400.0,11409988.0
2023-01-01,DIST001,PRD1018,731,57260528.0,1327963.0,55932565.0
2023-01-01,DIST008,PRD1013,273,19622241.0,1924873.0,17697368.0
2023-01-01,DIST008,PRD1043,409,12524865.0,663612.0,11861253.0
2023-01-01,DIST008,PRD1015,225,14443620.0,672709.0,13770911.0
2023-01-01,DIST008,PRD1042,416,28343789.0,2526144.0,25817645.0
2023-01-01,DIST008,PRD1006,744,25958186.0,849763.0,25108423.0
2023-01-01,DIST008,PRD1022,654,17321672.0,1555024.0,15766648.0
2023-01-01,DIST008,PRD1035,782,37724776.0,1356803.0,36367973.0
2023-01-01,DIST008,PRD1026,456,18686654.0,1600379.0,17086275.0
2023-01-01,DIST008,PRD1039,793,26688993.0,584306.0,26104687.0
2023-01-01,DIST008,PRD1009,236,10362278.0,438203.0,9924075.0
2023-01-01,DIST018,PRD1049,635,50081803.0,3150008.0,46931795.0
2023-01-01,DIST018,PRD1017,102,2745892.0,268087.0,2477805.0
2023-01-01,DIST018,PRD1022,225,12337961.0,1217560.0,11120401.0
2023-01-01,DIST018,PRD1041,44,1166183.0,63866.0,1102317.0
2023-01-01,DIST018,PRD1032,676,45417527.0,2493945.0,42923582.0
2023-01-01,DIST018,PRD1025,497,13388557.0,1231217.0,12157340.0
2023-01-01,DIST022,PRD1016,240,10044789.0,257126.0,9787663.0
2023-01-01,DIST022,PRD1002,624,46953661.0,3279827.0,43673834.0
2023-01-01,DIST022,PRD1045,622,44087930.0,3420357.0,40667573.0
2023-01-01,DIST022,PRD1027,324,16338461.0,1198450.0,15140011.0
2023-01-01,DIST022,PRD1000,347,15317976.0,668667.0,14649309.0
2023-01-01,DIST022,PRD1034,184,5797915.0,424375.0,5373540.0
2023-01-01,DIST022,PRD1042,390,23649240.0,2181038.0,21468202.0
2023-01-01,DIST004,PRD1036,441,26697097.0,1625691.0,25071406.0
2023-01-01,DIST004,PRD1019,729,53997649.0,4518630.0,49479019.0
2023-01-01,DIST004,PRD1025,217,12918237.0,551646.0,12366591.0
2023-01-01,DIST004,PRD1035,622,36061353.0,1688214.0,34373139.0
2023-01-01,DIST004,PRD1000,750,57839985.0,2243583.0,55596402.0
2023-01-01,DIST004,PRD1048,332,11114842.0,399361.0,10715481.0
2023-01-01,DIST004,PRD1018,99,2254509.0,222554.0,2031955.0
2023-01-01,DIST004,PRD1013,579,41099888.0,1061456.0,40038432.0
2023-01-01,DIST004,PRD1027,419,30657482.0,2025039.0,28632443.0
2023-01-01,DIST004,PRD1037,667,41208097.0,2453949.0,38754148.0
2023-01-01,DIST004,PRD1038,278,8021490.0,601690.0,7419800.0
2023-01-01,DIST004,PRD1029,694,49708745.0,4515404.0,45193341.0
2023-01-01,DIST004,PRD1028,716,32584280.0,1110177.0,31474103.0
2023-01-01,DIST010,PRD1029,580,39962226.0,3651014.0,36311212.0
2023-01-01,DIST010,PRD1035,428,29889016.0,1907809.0,27981207.0
2023-01-01,DIST010,PRD1015,209,13505439.0,782964.0,12722475.0
2023-01-01,DIST010,PRD1049,291,18946023.0,1651885.0,17294138.0
2023-01-01,DIST010,PRD1044,305,20114390.0,1241138.0,18873252.0
2023-01-01,DIST010,PRD1047,592,20338013.0,1122451.0,19215562.0
2023-01-01,DIST010,PRD1038,664,24663410.0,1029382.0,23634028.0
2023-01-01,DIST010,PRD1028,340,25017747.0,661625.0,24356122.0
2023-01-01,DIST014,PRD1014,104,4623420.0,293166.0,4330254.0
2023-01-01,DIST014,PRD1024,419,9945360.0,861579.0,9083781.0
2023-01-01,DIST014,PRD1044,398,29567543.0,1972934.0,27594609.0
2023-01-01,DIST014,PRD1009,649,13740574.0,1242870.0,12497704.0
2023-01-01,DIST014,PRD1045,550,23552574.0,482161.0,23070413.0
2023-01-01,DIST014,PRD1013,368,13953367.0,714397.0,13238970.0
2023-01-01,DIST006,PRD1034,102,4419806.0,324899.0,4094907.0
2023-01-01,DIST006,PRD1047,732,32397588.0,1075716.0,31321872.0
2023-01-01,DIST006,PRD1048,462,34729694.0,3419408.0,31310286.0
2023-01-01,DIST006,PRD1049,516,11154881.0,574718.0,10580163.0
2023-01-01,DIST006,PRD1038,540,32281192.0,862418.0,31418774.0
2023-01-01,DIST006,PRD1014,107,3011191.0,171445.0,2839746.0
2023-01-01,DIST006,PRD1031,120,4273125.0,197368.0,4075757.0
2023-01-01,DIST006,PRD1044,451,17864447.0,1445205.0,16419242.0
2023-01-01,DIST006,PRD1017,390,14311205.0,1375254.0,12935951.0
2023-01-01,DIST006,PRD1027,424,14897788.0,395573.0,14502215.0
2023-01-01,DIST006,PRD1043,51,3312014.0,80041.0,3231973.0
2023-01-01,DIST015,PRD1014,51,1749948.0,101296.0,1648652.0
2023-01-01,DIST015,PRD1041,69,3714834.0,139073.0,3575761.0
2023-01-01,DIST015,PRD1048,652,23064253.0,1141948.0,21922305.0
2023-01-01,DIST015,PRD1002,576,32506473.0,2595123.0,29911350.0
2023-01-01,DIST015,PRD1001,172,11466812.0,379566.0,11087246.0
